,word,freq
0,which,7655695
1,first,5897144
2,their,5204422
3,after,5177603
4,other,3524008
5,during,3434012
6,there,2959723
7,school,2639637
8,years,2608003
9,would,2604524
10,later,2518364
11,between,2473768
12,where,2469192
13,national,2396114
14,season,2377926
15,world,2344156
16,state,2298841
17,university,2245981
18,while,2220096
19,about,2207158
20,three,2202825
21,united,2187486
22,under,2087722
23,became,2050642
24,known,2039118
25,second,1987974
26,states,1933177
27,these,1917872
28,including,1917341
29,american,1906079
30,being,1904981
31,before,1877352
32,south,1847379
33,early,1846671
34,through,1838973
35,against,1815364
36,history,1798422
37,family,1722703
38,until,1717536
39,following,1704767
40,career,1699059
41,since,1691950
42,people,1682183
43,series,1680025
44,however,1674377
45,north,1605145
46,played,1584938
47,group,1572547
48,district,1546772
49,album,1542000
50,music,1538417
51,league,1537657
52,released,1510120
53,number,1497955
54,several,1491520
55,county,1482407
56,company,1446442
57,march,1429640
58,government,1410212
59,called,1388098
60,house,1385103
61,september,1367949
62,january,1363765
63,international,1341557
64,october,1335406
65,august,1320266
66,april,1297698
67,began,1278703
68,found,1278301
69,station,1275618
70,november,1260138
71,december,1244565
72,football,1235641
73,member,1228713
74,college,1227258
75,located,1209402
76,general,1206932
77,public,1202094
78,place,1194269
79,church,1185847
80,former,1184630
81,population,1146855
82,named,1144890
83,february,1127211
84,party,1121486
85,served,1117456
86,around,1107925
87,system,1103579
88,river,1102967
89,british,1093168
90,local,1085622
91,because,1078679
92,received,1062516
93,final,1055454
94,games,1053339
95,service,1048638
96,along,1044574
97,could,1037459
98,based,1030410
99,another,1028289
100,century,1022406
101,within,1021380
102,members,1017406
103,building,1013308
104,species,1010553
105,built,1003243
106,death,1003005
107,village,988999
108,president,985388
109,major,972701
110,published,957034
111,include,946716
112,third,928778
113,although,924346
114,according,920167
115,included,916090
116,order,914056
117,division,912709
118,single,908587
119,education,906754
120,small,905268
121,large,892784
122,those,883675
123,development,864404
124,among,852669
125,still,846347
126,moved,844795
127,french,830430
128,times,826936
129,research,825521
130,central,818285
131,council,818184
132,million,815297
133,election,810921
134,court,809314
135,center,797969
136,community,797093
137,children,797041
138,often,796301
139,again,785227
140,english,785183
141,water,784265
142,original,783836
143,different,776174
144,country,770071
145,street,769301
146,record,767174
147,championship,767105
148,great,763777
149,announced,762961
150,political,760186
151,german,759461
152,established,748580
153,award,747518
154,military,747130
155,title,744367
156,power,742411
157,started,741319
158,production,739665
159,having,738959
160,support,735944
161,london,734703
162,white,734468
163,period,731962
164,region,714515
165,island,713784
166,office,708074
167,works,706869
168,total,706024
169,worked,701214
170,joined,699992
171,television,698599
172,player,697063
173,western,694192
174,director,693785
175,given,692970
176,father,692257
177,association,691671
178,various,691624
179,black,690275
180,union,687518
181,using,686972
182,professional,680639
183,described,678735
184,married,675748
185,become,670884
186,women,667947
187,field,664602
188,returned,664186
189,produced,659295
