,word,freq
0,entre,1474044
1,tambien,1412057
2,desde,1012852
3,durante,996581
4,hasta,969583
5,sobre,923349
6,parte,906539
7,donde,876154
8,despues,829876
9,ciudad,782621
10,primera,738565
11,cuando,710223
12,habia,624504
13,fueron,599026
14,tiene,594703
15,otros,584075
16,primer,580716
17,nacional,562401
18,historia,561298
19,nombre,542941
20,estado,537817
21,poblacion,518168
22,mismo,513825
23,puede,493471
24,forma,465260
25,ademas,461692
26,estados,451628
27,familia,451023
28,encuentra,448222
29,aunque,444984
30,lugar,444783
31,segun,442101
32,grupo,439756
33,guerra,438695
34,contra,437803
35,general,426754
36,nueva,418191
37,mayor,416055
38,partido,413700
39,equipo,413119
40,mientras,411734
41,junto,410232
42,universidad,400507
43,tiempo,399673
44,gobierno,397603
45,serie,396712
46,unidos,395903
47,embargo,386060
48,otras,383976
49,siglo,383949
50,municipio,371595
51,nuevo,369465
52,luego,360210
53,estaba,360126
54,antes,359634
55,todos,358717
56,norte,357275
57,quien,349016
58,espana,348945
59,segunda,347382
60,siendo,347194
61,tanto,341578
62,personas,335652
63,hacia,332541
64,debido,332328
65,algunos,331246
66,final,329763
67,julio,329648
68,temporada,327131
69,estos,320949
70,region,304895
71,carrera,301168
72,varios,301155
73,album,300220
74,cuatro,299380
75,mundo,296193
76,octubre,294748
77,tenia,294699
78,marzo,293673
79,enero,292326
80,centro,291683
81,septiembre,291249
82,pelicula,290991
83,total,289744
84,entonces,288313
85,junio,287471
86,provincia,286481
87,sistema,282407
88,mundial,282247
89,abril,278556
90,diciembre,278377
91,agosto,278272
92,presidente,276217
93,numero,274053
94,habitantes,272907
95,pueden,268203
96,noviembre,267631
97,especie,262305
98,principal,257230
99,banda,256517
100,cuenta,256070
101,traves,255958
102,segundo,255618
103,trabajo,253710
104,febrero,249143
105,iglesia,248680
106,dentro,246542
107,internacional,243832
108,cancion,241548
109,mexico,237521
110,estas,234715
111,tarde,233808
112,muchos,233502
113,futbol,231947
114,ellos,231628
115,estan,231589
116,muerte,230766
117,largo,226039
118,comenzo,225940
119,obras,225862
120,santa,225569
121,siguiente,225182
122,distrito,224051
123,musica,223049
124,partir,221366
125,estadounidense,221242
126,division,220519
127,campeonato,220222
128,grandes,219238
129,varias,218660
130,espanol,217318
131,conocido,217080
132,ejercito,216300
133,medio,215718
134,frente,215304
135,mejor,214604
136,tierra,213612
137,argentina,213122
138,maria,212312
139,algunas,211223
140,momento,210163
141,linea,210148
142,primeros,209690
143,orden,209059
144,desarrollo,208166
145,padre,208055
146,epoca,207356
147,genero,206131
148,politica,204138
149,poder,203394
150,pueblo,203013
151,escuela,202018
152,menos,199833
153,titulo,199524
154,programa,198792
155,republica,198499
156,posteriormente,197948
157,cerca,197388
158,mayoria,197375
159,ultimo,196142
160,misma,195203
161,central,194841
162,produccion,193847
163,estudios,192785
164,importante,191995
165,diferentes,190385
166,todas,189911
167,mujeres,188398
168,finalmente,188149
169,manera,187645
170,localidad,186444
171,paises,186403
172,censo,186192
173,nivel,185533
174,hecho,184320
175,millones,184317
176,capital,183964
177,francia,183591
178,cinco,183581
179,carlos,183409
180,ejemplo,181926
181,convirtio,181098
182,tienen,180622
183,director,179961
184,actualmente,179642
185,madrid,179112
186,llamado,178585
